,username,fullname,followers,profile_link,biography
105,"
              kconnorsdesign
            ","
              Karen Connors
            ","
                  147
                ",https://www.instagram.com/kconnorsdesign,"
              Designer @ Newton Kitchens & Design
            "
106,"
              florancedesigns
            ","
              Florance Designs
            ","
                  7.8k
                ",https://www.instagram.com/florancedesigns,"
              •Florance Designs, Designer Boutique•
            "
107,"
              matteopaloni
            ","
              matteo paloni
            ","
                  959
                ",https://www.instagram.com/matteopaloni,"
              Designer / graphic designer /NTMB
            "
108,"
              jujulog
            ","
              Juliette Logereau
            ","
                  588
                ",https://www.instagram.com/jujulog,"
              product design + interior design
            "
109,"
              j_lianolsen
            ","
              Johanne Lian Olsen
            ","
                  4.7k
                ",https://www.instagram.com/j_lianolsen,"
              Graphic Designer / Type Designer
            "
110,"
              lauramecagarcia
            ","
              Laura Meca
            ","
                  845
                ",https://www.instagram.com/lauramecagarcia,"
              Editorial designer  ❤pattern designer ❤
            "
111,"
              aristovamargo
            ","
              Margo
            ","
                  1.2k
                ",https://www.instagram.com/aristovamargo,"
              Designer
        Interior design
            "
112,"
              colinelecorre
            ","
              Coline Le Corre
            ","
                  386
                ",https://www.instagram.com/colinelecorre,"
              Design / Set-design
        holyautels.tumblr.com
            "
113,"
              glasstomouth.beer
            ","
              Glass to Mouth
            ","
                  904
                ",https://www.instagram.com/glasstomouth.beer,"
              Designer Glassware
        Original Designs
            "
114,"
              kristinadmetcalf
            ","
              Kristina Metcalf, AIFD, CFD
            ","
                  123
                ",https://www.instagram.com/kristinadmetcalf,"
              Costume Designer and Floral Designer
            "
115,"
              elvyra_design_designer
            ","
              Elvyra Monginiene
            ","
                  7.9k
                ",https://www.instagram.com/elvyra_design_designer,"
              Elvyra design, owner , designer
            "
116,"
              torbjornsandnes
            ","
              Torbjørn Sandnes
            ","
                  611
                ",https://www.instagram.com/torbjornsandnes,"
              Light Designer / Video designer
            "
117,"
              akinaysan
            ","
              Akın Aysan
            ","
                  633
                ",https://www.instagram.com/akinaysan,"
              Industrial Designer  
        Birr Design
            "
118,"
              lestaridn
            ","
              Dinda Fauzie
            ","
                  754
                ",https://www.instagram.com/lestaridn,"
              Graphic Designer • Pena Design
            "
119,"
              stellameansstar
            ","
              Yunxin Stella Wang
            ","
                  164
                ",https://www.instagram.com/stellameansstar,"
              Graphic Designer\\Communication Designer
            "
120,"
              eringabrielle
            ","
","
                  378
                ",https://www.instagram.com/eringabrielle,"
              Interior Design | Furniture Design
            "
121,"
              ianni.bruno
            ","
              Bruno Ianni
            ","
                  815
                ",https://www.instagram.com/ianni.bruno,"
              Design gráfico / Motion design
            "
122,"
              pepa.lafata
            ","
              María Jose La Fata
            ","
                  1.6k
                ",https://www.instagram.com/pepa.lafata,"
              Grafic Designer ⚡ Fashion Designer
            "
123,"
              christianvincentmunoz
            ","
              Christian Vincent Munoz
            ","
                  532
                ",https://www.instagram.com/christianvincentmunoz,"
              designer, builder... designer/builder.
            "
124,"
              beyondcloset
            ","
              Taeyong Ko 고 태용
            ","
                  83.9k
                ",https://www.instagram.com/beyondcloset,"
              Fashion designer or Passion designer
            "
125,"
              tejas_kale_
            ","
              Tejas kale
            ","
                  402
                ",https://www.instagram.com/tejas_kale_,"
              Industrial Designer/ Graphic Designer
            "
126,"
              alecatamartinez
            ","
              Ale Cata
            ","
                  974
                ",https://www.instagram.com/alecatamartinez,"
              Designer at Sira Design
            "
127,"
              demet_polatt
            ","
              Demet_Poll®
            ","
                  551
                ",https://www.instagram.com/demet_polatt,"
              Designer, a graphic designer 😎
            "
128,"
              helenebenhamou
            ","
              Helene Benhamou
            ","
                  28.8k
                ",https://www.instagram.com/helenebenhamou,"
              Interior Designer. Lifestyle Designer.
            "
129,"
              jabezbartlett
            ","
              Jabez Bartlett
            ","
                  587
                ",https://www.instagram.com/jabezbartlett,"
              set design schmet design
            "
130,"
              joncorreira
            ","
              Jonathan Correira
            ","
                  497
                ",https://www.instagram.com/joncorreira,"
              Independent Designer and Design Director
            "
131,"
              kellymcguillhome
            ","
              Kelly Mcguill
            ","
                  4.2k
                ",https://www.instagram.com/kellymcguillhome,"
              Interior Designer, Design build
            "
132,"
              lo_designer
            ","
              Lena  Ostapova designer
            ","
                  1.1k
                ",https://www.instagram.com/lo_designer,"
              Lena Ostapova designer is a multi-awords winning in the design hospitality design Interior design of the house Restaurant design #HoReCa projects
            "
133,"
              kunstdirektorwien
            ","
              Alexander Ullrich // asquared
            ","
                  244
                ",https://www.instagram.com/kunstdirektorwien,"
              Art // Architecture // Graphic Design // DIY // Books // Furniture Design // Interior Design // PARTISAN non_regular design // ASQUARED graphic design
            "
134,"
              divya09anand
            ","
              Divya Anand
            ","
                  2.5k
                ",https://www.instagram.com/divya09anand,"
              #Fashion Designer#Costume Designer
            "
135,"
              christonogues
            ","
              Christo
            ","
                  329
                ",https://www.instagram.com/christonogues,"
              Designer & set designer
            "
136,"
              tomoyukimatsuoka
            ","
              Tomoyuki Matsuoka
            ","
                  502
                ",https://www.instagram.com/tomoyukimatsuoka,"
              Product design, Furniture design
            "
137,"
              allisonwillson
            ","
              Ali Willson
            ","
                  6.0k
                ",https://www.instagram.com/allisonwillson,"
              Designer, Sarah Richardson Design
            "
138,"
              bluedogzdesign
            ","
              nadine lerner
            ","
                  504
                ",https://www.instagram.com/bluedogzdesign,"
              Montreal Boutique Design Studio • Web design • Branding + Logos • Packaging • Product Design • Catalog Design • Graphic Design
            "
139,"
              jackfahrer
            ","
              Jack Fahrer
            ","
                  4.9k
                ",https://www.instagram.com/jackfahrer,"
              Designer. Fahrer Design
        @fahrerdesign
            "
140,"
              maradamianidesigner
            ","
              Mara Damiani
            ","
                  1.4k
                ",https://www.instagram.com/maradamianidesigner,"
              Graphic designer.
        The tradition evolves into design.
        Brand designer,Prints design,Textiles design,Art&Artisans.
            "
141,"
              solidedesign
            ","
              Solide
            ","
                  294
                ",https://www.instagram.com/solidedesign,"
              Design Collective, designing vertuous systems 
        Product design - Industrial design - Service design - Innovation
            "
142,"
              ivomaia_designers
            ","
              ivomaia designers
            ","
                  1.1k
                ",https://www.instagram.com/ivomaia_designers,"
              Ivomaia [designers] gabinete de design& design gallery/store 
        Serviços: design interiores |branding/design comunicação | design de produto
            "
143,"
              daria.nicolaev
            ","
              Daria Nicolaev
            ","
                  85
                ",https://www.instagram.com/daria.nicolaev,"
              Set and costume designer
        Graphic designer
            "
144,"
              agne.menniks
            ","
              Agne Menniks
            ","
                  464
                ",https://www.instagram.com/agne.menniks,"
              Designer I Scenographer I Stage designer I Interior designer I Graphic designer I Tv set designer
            "
145,"
              ysdesignstudio
            ","
              YS Design Studio
            ","
                  582
                ",https://www.instagram.com/ysdesignstudio,"
              Graphic design, corporate branding, coffee table book design, wedding invitation design, packaging design, interactive design.
            "
146,"
              gustavocasanovas
            ","
              Gustavo Casanovas
            ","
                  2.1k
                ",https://www.instagram.com/gustavocasanovas,"
              From Argentina
        In Miami USA
        Art designer :
        Fashion designer,Costume designer,Makeup designer,Hair designer,Prop designer,Decor. GustavoCasanovas/fb
            "
